player_name,raid_name,boss_name,raid_difficulty,total_pulls
explorer,liberation of undermine,one-armed bandit,mythic,172
mignottàuren,liberation of undermine,"mug'zee, heads of security",heroic,2
mægisk,liberation of undermine,vexie and the geargrinders,mythic,21
mâiâr,liberation of undermine,chrome king gallywix,heroic,2
incila,liberation of undermine,vexie and the geargrinders,mythic,1
chouafa,liberation of undermine,sprocketmonger lockenstock,heroic,1
vinewhip,liberation of undermine,chrome king gallywix,heroic,1
draezsham,liberation of undermine,"mug'zee, heads of security",heroic,2
evereld,liberation of undermine,chrome king gallywix,mythic,200
guolldan,liberation of undermine,chrome king gallywix,heroic,1
macbaa,liberation of undermine,sprocketmonger lockenstock,mythic,52
chokebo,liberation of undermine,"mug'zee, heads of security",heroic,1
mægisk,liberation of undermine,sprocketmonger lockenstock,heroic,6
budgetgoku,liberation of undermine,vexie and the geargrinders,mythic,20
roropriest,liberation of undermine,stix bunkjunker,heroic,3
mægisk,liberation of undermine,chrome king gallywix,mythic,296
dibby,liberation of undermine,sprocketmonger lockenstock,heroic,1
bamoo,liberation of undermine,vexie and the geargrinders,heroic,1
spinningyiff,liberation of undermine,chrome king gallywix,heroic,1
bigboiples,liberation of undermine,"mug'zee, heads of security",heroic,40
lenus,liberation of undermine,one-armed bandit,heroic,26
drottmonk,liberation of undermine,chrome king gallywix,heroic,2
budgetgoku,liberation of undermine,stix bunkjunker,mythic,67
parababasii,liberation of undermine,vexie and the geargrinders,mythic,1
mâiâr,liberation of undermine,"mug'zee, heads of security",heroic,2
swannie,liberation of undermine,one-armed bandit,heroic,12
evereld,liberation of undermine,rik reverb,mythic,34
lenus,liberation of undermine,stix bunkjunker,heroic,3
aivfive,liberation of undermine,chrome king gallywix,heroic,2
profesorpapi,liberation of undermine,sprocketmonger lockenstock,mythic,22
welshwonda,liberation of undermine,"mug'zee, heads of security",mythic,6
vinewhip,liberation of undermine,"mug'zee, heads of security",heroic,1
hobbyalkis,liberation of undermine,sprocketmonger lockenstock,heroic,5
chouafa,liberation of undermine,chrome king gallywix,heroic,3
tk,liberation of undermine,one-armed bandit,heroic,2
bensmonk,liberation of undermine,chrome king gallywix,heroic,7
enjiie,liberation of undermine,one-armed bandit,heroic,27
gazapatesi,liberation of undermine,chrome king gallywix,heroic,2
jumzo,liberation of undermine,cauldron of carnage,mythic,37
ollieyay,liberation of undermine,one-armed bandit,heroic,19
yeviel,liberation of undermine,one-armed bandit,heroic,10
aivfive,liberation of undermine,one-armed bandit,mythic,48
rundervink,liberation of undermine,rik reverb,mythic,9
jordanpriest,liberation of undermine,vexie and the geargrinders,heroic,2
hobbyalkis,liberation of undermine,sprocketmonger lockenstock,mythic,211
jumzo,liberation of undermine,chrome king gallywix,heroic,45
jumzo,liberation of undermine,cauldron of carnage,heroic,3
rizzleton,liberation of undermine,one-armed bandit,mythic,172
yashopal,liberation of undermine,vexie and the geargrinders,mythic,2
rzoc,liberation of undermine,chrome king gallywix,heroic,1
aodmage,liberation of undermine,sprocketmonger lockenstock,mythic,52
benshammy,liberation of undermine,vexie and the geargrinders,heroic,2
synrae,liberation of undermine,"mug'zee, heads of security",heroic,2
mægisk,liberation of undermine,one-armed bandit,mythic,172
purovolitis,liberation of undermine,one-armed bandit,heroic,2
asenae,liberation of undermine,"mug'zee, heads of security",heroic,1
emypriest,liberation of undermine,chrome king gallywix,heroic,2
gråphic,liberation of undermine,stix bunkjunker,mythic,11
enjiie,liberation of undermine,"mug'zee, heads of security",heroic,41
glizzyrider,liberation of undermine,"mug'zee, heads of security",heroic,14
explorer,liberation of undermine,rik reverb,heroic,5
hoppsy,liberation of undermine,stix bunkjunker,mythic,9
smonkste,liberation of undermine,sprocketmonger lockenstock,heroic,2
evereld,liberation of undermine,stix bunkjunker,mythic,112
incila,liberation of undermine,stix bunkjunker,mythic,9
tikerr,liberation of undermine,one-armed bandit,heroic,2
coreydlr,liberation of undermine,one-armed bandit,heroic,1
yashopal,liberation of undermine,sprocketmonger lockenstock,heroic,1
lenus,liberation of undermine,vexie and the geargrinders,mythic,21
irni,liberation of undermine,vexie and the geargrinders,heroic,2
brraga,liberation of undermine,one-armed bandit,heroic,9
gici,liberation of undermine,cauldron of carnage,mythic,2
vitiblast,liberation of undermine,cauldron of carnage,mythic,4
sassaki,liberation of undermine,one-armed bandit,heroic,2
gazapatesi,liberation of undermine,one-armed bandit,heroic,2
unrecorded,liberation of undermine,one-armed bandit,mythic,86
anastase,liberation of undermine,one-armed bandit,heroic,2
маамен,liberation of undermine,"mug'zee, heads of security",heroic,2
aenry,liberation of undermine,"mug'zee, heads of security",heroic,2
aenry,liberation of undermine,cauldron of carnage,mythic,2
ketapret,liberation of undermine,vexie and the geargrinders,heroic,2
cherven,liberation of undermine,vexie and the geargrinders,mythic,8
frenzyy,liberation of undermine,rik reverb,mythic,12
wanchan,liberation of undermine,sprocketmonger lockenstock,mythic,245
yearning,liberation of undermine,stix bunkjunker,mythic,22
neferhammer,liberation of undermine,"mug'zee, heads of security",mythic,6
bigboiples,liberation of undermine,stix bunkjunker,heroic,3
fraumüller,liberation of undermine,one-armed bandit,heroic,9
deadonkillz,liberation of undermine,vexie and the geargrinders,heroic,4
glizzyrider,liberation of undermine,vexie and the geargrinders,heroic,2
shadowxmorn,liberation of undermine,vexie and the geargrinders,heroic,1
unrecorded,liberation of undermine,stix bunkjunker,mythic,43
olavets,liberation of undermine,"mug'zee, heads of security",heroic,12
magicwingers,liberation of undermine,cauldron of carnage,mythic,39
tk,liberation of undermine,chrome king gallywix,heroic,2
oceanblvd,liberation of undermine,stix bunkjunker,mythic,11
morphutz,liberation of undermine,"mug'zee, heads of security",mythic,54
ashyminge,liberation of undermine,vexie and the geargrinders,heroic,14
lobster,liberation of undermine,rik reverb,mythic,9
parababasii,liberation of undermine,vexie and the geargrinders,heroic,1
mirmilitz,liberation of undermine,chrome king gallywix,heroic,1
benspala,liberation of undermine,chrome king gallywix,mythic,96
furiamonk,liberation of undermine,cauldron of carnage,heroic,2
herjaul,liberation of undermine,"mug'zee, heads of security",heroic,2
cherven,liberation of undermine,vexie and the geargrinders,heroic,11
turbohot,liberation of undermine,vexie and the geargrinders,mythic,21
turbohot,liberation of undermine,one-armed bandit,mythic,172
rizzleton,liberation of undermine,chrome king gallywix,heroic,46
cutefist,liberation of undermine,cauldron of carnage,mythic,38
cutefist,liberation of undermine,rik reverb,heroic,5
ashyminge,liberation of undermine,stix bunkjunker,heroic,3
amnotgoblin,liberation of undermine,chrome king gallywix,heroic,2
yeviel,liberation of undermine,"mug'zee, heads of security",mythic,122
dimono,liberation of undermine,chrome king gallywix,heroic,3
cutefist,liberation of undermine,sprocketmonger lockenstock,mythic,245
ketapret,liberation of undermine,one-armed bandit,heroic,2
rizzleton,liberation of undermine,vexie and the geargrinders,heroic,21
televisions,liberation of undermine,cauldron of carnage,heroic,3
dangermouse,liberation of undermine,vexie and the geargrinders,heroic,1
ashyminge,liberation of undermine,one-armed bandit,heroic,22
irni,liberation of undermine,one-armed bandit,heroic,2
smonkste,liberation of undermine,chrome king gallywix,heroic,16
magicwingers,liberation of undermine,sprocketmonger lockenstock,mythic,245
sillyguy,liberation of undermine,chrome king gallywix,heroic,3
turbohot,liberation of undermine,sprocketmonger lockenstock,heroic,6
larssonadin,liberation of undermine,cauldron of carnage,heroic,1
dankdemonh,liberation of undermine,"mug'zee, heads of security",heroic,2
attentive,liberation of undermine,stix bunkjunker,mythic,8
таристаз,liberation of undermine,vexie and the geargrinders,heroic,2
garajamal,liberation of undermine,one-armed bandit,mythic,48
rizzleton,liberation of undermine,"mug'zee, heads of security",heroic,42
willowwisp,liberation of undermine,one-armed bandit,heroic,24
lehvin,liberation of undermine,one-armed bandit,heroic,1
katasari,liberation of undermine,"mug'zee, heads of security",mythic,54
yearning,liberation of undermine,"mug'zee, heads of security",heroic,35
iustitiæ,liberation of undermine,rik reverb,mythic,57
coreydlr,liberation of undermine,chrome king gallywix,heroic,1
rundervink,liberation of undermine,vexie and the geargrinders,heroic,1
burikhu,liberation of undermine,"mug'zee, heads of security",mythic,6
tk,liberation of undermine,vexie and the geargrinders,heroic,4
deadonkillz,liberation of undermine,chrome king gallywix,heroic,2
legoman,liberation of undermine,"mug'zee, heads of security",heroic,2
nahuêl,liberation of undermine,vexie and the geargrinders,heroic,2
tikerr,liberation of undermine,chrome king gallywix,heroic,2
pattern,liberation of undermine,chrome king gallywix,mythic,296
glizzyrider,liberation of undermine,"mug'zee, heads of security",mythic,112
brraga,liberation of undermine,"mug'zee, heads of security",heroic,12
herjaul,liberation of undermine,one-armed bandit,heroic,2
ragwaen,liberation of undermine,"mug'zee, heads of security",mythic,60
bamoo,liberation of undermine,rik reverb,heroic,2
rayook,liberation of undermine,chrome king gallywix,heroic,2
alexmae,liberation of undermine,one-armed bandit,heroic,2
sinrrjj,liberation of undermine,stix bunkjunker,mythic,9
togecurse,liberation of undermine,"mug'zee, heads of security",mythic,54
yeviel,liberation of undermine,sprocketmonger lockenstock,mythic,56
profesorpapi,liberation of undermine,chrome king gallywix,heroic,2
explorer,liberation of undermine,vexie and the geargrinders,mythic,21
pitousama,liberation of undermine,"mug'zee, heads of security",mythic,54
xxdownfall,liberation of undermine,"mug'zee, heads of security",mythic,6
gordog,liberation of undermine,vexie and the geargrinders,mythic,3
iustitiæ,liberation of undermine,sprocketmonger lockenstock,mythic,245
guolldan,liberation of undermine,cauldron of carnage,mythic,1
ashyminge,liberation of undermine,sprocketmonger lockenstock,mythic,171
benshammy,liberation of undermine,chrome king gallywix,heroic,8
allandmore,liberation of undermine,"mug'zee, heads of security",mythic,6
wanchan,liberation of undermine,sprocketmonger lockenstock,heroic,6
larssonadin,liberation of undermine,one-armed bandit,heroic,10
mashin,liberation of undermine,chrome king gallywix,heroic,4
hesoyâm,liberation of undermine,one-armed bandit,mythic,48
amnotgoblin,liberation of undermine,one-armed bandit,mythic,48
naomivoke,liberation of undermine,cauldron of carnage,mythic,1
televisions,liberation of undermine,one-armed bandit,heroic,28
miravelle,liberation of undermine,"mug'zee, heads of security",mythic,6
anastase,liberation of undermine,chrome king gallywix,heroic,2
emypriest,liberation of undermine,vexie and the geargrinders,heroic,2
júls,liberation of undermine,"mug'zee, heads of security",mythic,6
periodpain,liberation of undermine,cauldron of carnage,mythic,4
ashyminge,liberation of undermine,vexie and the geargrinders,mythic,21
iustitiæ,liberation of undermine,stix bunkjunker,heroic,3
rilot,liberation of undermine,vexie and the geargrinders,heroic,2
periodpain,liberation of undermine,rik reverb,mythic,9
dankdemonh,liberation of undermine,"mug'zee, heads of security",mythic,50
benspala,liberation of undermine,"mug'zee, heads of security",heroic,12
lamuertè,liberation of undermine,"mug'zee, heads of security",mythic,54
