report_id,report_date,player_class,player_name,damage_total,active_time,item_level,dps
F9xXwVZj8P4KmkyT,2025-06-25 Wed,paladin,delvur,12671762008,5392210,682,2350013.0
rVnDB4fcb9qZAPLv,2025-06-16 Mon,demonhunter,enjiie,14794893700,4807363,682,3077549.0
rVnDB4fcb9qZAPLv,2025-06-16 Mon,monk,yearning,13227556360,4594771,675,2878828.0
RqBF9J8d7jKzpVDM,2025-06-30 Mon,mage,unrecorded,16180281338,5427382,681,2981231.0
jmpyLVFaKX8qvZD7,2025-06-11 Wed,druid,koriekin,13796244940,4629248,678,2980235.0
F9xXwVZj8P4KmkyT,2025-06-25 Wed,demonhunter,enjiie,15759220143,5227683,683,3014571.0
MymtjWk9brQ6aBqR,2025-06-23 Mon,demonhunter,lenus,8777657506,5718346,679,1534999.0
BfWcKMdxybL1j9P7,2025-06-09 Mon,warlock,pattern,22405091690,10531864,667,2127362.0
MymtjWk9brQ6aBqR,2025-06-23 Mon,shaman,rizzleton,16587045586,5734215,679,2892645.0
RqBF9J8d7jKzpVDM,2025-06-30 Mon,evoker,magicwingers,14239397681,5428482,683,2623090.0
rVnDB4fcb9qZAPLv,2025-06-16 Mon,evoker,magicwingers,7086950747,3063351,680,2313464.0
BfWcKMdxybL1j9P7,2025-06-09 Mon,demonhunter,enjiie,31716079614,10546016,682,3007399.0
F9xXwVZj8P4KmkyT,2025-06-25 Wed,paladin,budgetgoku,6702885448,5300378,683,1264605.0
F9xXwVZj8P4KmkyT,2025-06-25 Wed,druid,bigboiples,916692636,4937676,680,185653.0
MymtjWk9brQ6aBqR,2025-06-23 Mon,demonhunter,enjiie,16752846771,5537800,683,3025181.0
rVnDB4fcb9qZAPLv,2025-06-16 Mon,druid,bensbear,12850085690,4789780,671,2682813.0
MymtjWk9brQ6aBqR,2025-06-23 Mon,evoker,magicwingers,14627906702,5296859,681,2761619.0
jmpyLVFaKX8qvZD7,2025-06-11 Wed,mage,ashyminge,12928841842,4750815,675,2721395.0
F9xXwVZj8P4KmkyT,2025-06-25 Wed,druid,koriekin,14124943176,5271519,679,2679483.0
RqBF9J8d7jKzpVDM,2025-06-30 Mon,druid,koriekin,15018003325,5694349,679,2637352.0
RqBF9J8d7jKzpVDM,2025-06-30 Mon,mage,ashyminge,13980078282,5609364,678,2492275.0
jmpyLVFaKX8qvZD7,2025-06-11 Wed,rogue,hobbyalkis,12886912476,4766692,677,2703534.0
rVnDB4fcb9qZAPLv,2025-06-16 Mon,mage,ashyminge,13034083475,4792476,675,2719697.0
BfWcKMdxybL1j9P7,2025-06-09 Mon,priest,televisions,2404880344,10442448,681,230299.0
jmpyLVFaKX8qvZD7,2025-06-11 Wed,demonhunter,lenus,7840720721,4926724,678,1591467.0
BfWcKMdxybL1j9P7,2025-06-09 Mon,monk,yearning,23734362278,9717644,674,2442399.0
F9xXwVZj8P4KmkyT,2025-06-25 Wed,paladin,yeviel,1837878337,4643049,673,395834.0
BfWcKMdxybL1j9P7,2025-06-09 Mon,druid,koriekin,28121812318,10254584,678,2742365.0
BfWcKMdxybL1j9P7,2025-06-09 Mon,rogue,mægisk,33543593424,10483118,682,3199773.0
BfWcKMdxybL1j9P7,2025-06-09 Mon,hunter,turbohot,29873473844,10151754,682,2942691.0
MymtjWk9brQ6aBqR,2025-06-23 Mon,hunter,turbohot,15523263785,5648669,684,2748128.0
rVnDB4fcb9qZAPLv,2025-06-16 Mon,monk,cutefist,2642530051,4367810,682,605001.0
F9xXwVZj8P4KmkyT,2025-06-25 Wed,hunter,turbohot,14339647402,5132762,684,2793749.0
jmpyLVFaKX8qvZD7,2025-06-11 Wed,paladin,jumzo,13234810815,4716705,680,2805944.0
MymtjWk9brQ6aBqR,2025-06-23 Mon,mage,wanchan,12452753636,5309298,677,2345461.0
F9xXwVZj8P4KmkyT,2025-06-25 Wed,mage,unrecorded,15492028606,5043382,681,3071754.0
jmpyLVFaKX8qvZD7,2025-06-11 Wed,mage,wanchan,11311076054,4613463,675,2451754.0
RqBF9J8d7jKzpVDM,2025-06-30 Mon,warlock,pattern,13242187284,5783220,673,2289760.0
jmpyLVFaKX8qvZD7,2025-06-11 Wed,priest,evereld,621254876,2302527,679,269814.0
rVnDB4fcb9qZAPLv,2025-06-16 Mon,priest,televisions,8409630073,4638193,681,1813126.0
jmpyLVFaKX8qvZD7,2025-06-11 Wed,mage,unrecorded,15273176684,4569466,681,3342442.0
MymtjWk9brQ6aBqR,2025-06-23 Mon,paladin,jumzo,14346706752,5667022,680,2531613.0
F9xXwVZj8P4KmkyT,2025-06-25 Wed,druid,willowwisp,13218875499,5070127,680,2607208.0
RqBF9J8d7jKzpVDM,2025-06-30 Mon,priest,televisions,15140247273,5724710,680,2644719.0
RqBF9J8d7jKzpVDM,2025-06-30 Mon,monk,yearning,13516877755,5364670,679,2519610.0
BfWcKMdxybL1j9P7,2025-06-09 Mon,mage,ashyminge,25470807528,10436588,674,2440530.0
BfWcKMdxybL1j9P7,2025-06-09 Mon,rogue,hobbyalkis,28395880890,11117978,677,2554051.0
F9xXwVZj8P4KmkyT,2025-06-25 Wed,paladin,jumzo,12605024896,5169133,681,2438518.0
RqBF9J8d7jKzpVDM,2025-06-30 Mon,druid,bigboiples,965156109,5383223,680,179290.0
MymtjWk9brQ6aBqR,2025-06-23 Mon,mage,unrecorded,17490040484,5549996,681,3151361.0
rVnDB4fcb9qZAPLv,2025-06-16 Mon,paladin,jumzo,12926667080,4837108,680,2672396.0
BfWcKMdxybL1j9P7,2025-06-09 Mon,paladin,explorer,30484452206,10706254,683,2847350.0
F9xXwVZj8P4KmkyT,2025-06-25 Wed,priest,televisions,1438058917,5347391,682,268927.0
rVnDB4fcb9qZAPLv,2025-06-16 Mon,paladin,budgetgoku,6835659980,4903651,682,1393994.0
BfWcKMdxybL1j9P7,2025-06-09 Mon,monk,glizzyrider,30065794708,10261660,676,2929915.0
BfWcKMdxybL1j9P7,2025-06-09 Mon,shaman,rizzleton,29965394316,10533258,678,2844836.0
jmpyLVFaKX8qvZD7,2025-06-11 Wed,paladin,explorer,13564502875,4772480,681,2842234.0
RqBF9J8d7jKzpVDM,2025-06-30 Mon,druid,willowwisp,14642245001,5672903,680,2581085.0
MymtjWk9brQ6aBqR,2025-06-23 Mon,druid,bigboiples,801100647,5351456,680,149698.0
RqBF9J8d7jKzpVDM,2025-06-30 Mon,paladin,jumzo,13720622323,5617511,681,2442474.0
jmpyLVFaKX8qvZD7,2025-06-11 Wed,hunter,turbohot,14535258427,4413320,683,3293498.0
F9xXwVZj8P4KmkyT,2025-06-25 Wed,mage,wanchan,11908706219,5157227,677,2309130.0
rVnDB4fcb9qZAPLv,2025-06-16 Mon,rogue,mægisk,14894071610,4673404,682,3186986.0
BfWcKMdxybL1j9P7,2025-06-09 Mon,paladin,jumzo,28245696106,10573554,680,2671353.0
F9xXwVZj8P4KmkyT,2025-06-25 Wed,demonhunter,lenus,8517614755,5454820,681,1561484.0
F9xXwVZj8P4KmkyT,2025-06-25 Wed,monk,yearning,12685367512,5077265,679,2498465.0
F9xXwVZj8P4KmkyT,2025-06-25 Wed,rogue,hobbyalkis,14764858923,5466306,681,2701067.0
BfWcKMdxybL1j9P7,2025-06-09 Mon,priest,evereld,1097315818,4631266,679,236936.0
RqBF9J8d7jKzpVDM,2025-06-30 Mon,priest,evereld,534722008,2308712,681,231611.0
rVnDB4fcb9qZAPLv,2025-06-16 Mon,hunter,turbohot,14801617367,4696988,683,3151300.0
