report_id,report_date,pull_number,killer_id,killing_ability_game_id,source_id,boss_difficulty,boss_name,start_time,end_time,player_name,death_timestamp,death_window,player_class,next_death_ts_1,next_death_ts_2,next_death_ts_3
F9xXwVZj8P4KmkyT,2025-06-25 Wed,9,77,1219393,-1,mythic,"mug'zee, heads of security",1590558,1719452,yearning,1700062,46808,monk,1700064,1701227,1716427
BfWcKMdxybL1j9P7,2025-06-09 Mon,10,74,1221224,-1,mythic,"mug'zee, heads of security",2072245,2323856,jumzo,2221763,70134,paladin,2221763,2221766,2221766
BfWcKMdxybL1j9P7,2025-06-09 Mon,10,74,1221224,-1,mythic,"mug'zee, heads of security",2072245,2323856,jumzo,2221763,70134,paladin,2221766,2221766,2240173
F9xXwVZj8P4KmkyT,2025-06-25 Wed,11,90,1216495,-1,mythic,"mug'zee, heads of security",1823524,2107111,lenus,2088716,0,demonhunter,2090568,2093786,2093815
F9xXwVZj8P4KmkyT,2025-06-25 Wed,12,4,1220769,-1,mythic,"mug'zee, heads of security",2249641,2561978,rizzleton,2531753,0,shaman,2531754,2534033,2536477
F9xXwVZj8P4KmkyT,2025-06-25 Wed,13,72,1221224,-1,mythic,"mug'zee, heads of security",2789942,2828776,koriekin,2814531,5877,druid,2814533,2814534,2814536
BfWcKMdxybL1j9P7,2025-06-09 Mon,14,74,469062,-1,mythic,"mug'zee, heads of security",2732215,2797301,hobbyalkis,2751130,301,rogue,2751130,2756657,2756657
BfWcKMdxybL1j9P7,2025-06-09 Mon,14,74,469062,-1,mythic,"mug'zee, heads of security",2732215,2797301,hobbyalkis,2751130,301,rogue,2756657,2756657,2770165
F9xXwVZj8P4KmkyT,2025-06-25 Wed,15,72,1220551,-1,mythic,"mug'zee, heads of security",2876573,2917073,yeviel,2898594,3874,paladin,2899652,2899713,2899715
F9xXwVZj8P4KmkyT,2025-06-25 Wed,16,72,469061,-1,mythic,"mug'zee, heads of security",3001255,3159670,koriekin,3146764,0,druid,3146887,3147037,3147330
BfWcKMdxybL1j9P7,2025-06-09 Mon,17,4,1216143,-1,mythic,"mug'zee, heads of security",3043145,3111148,koriekin,3107414,0,druid,3107414,3107415,3107415
BfWcKMdxybL1j9P7,2025-06-09 Mon,17,4,1216143,-1,mythic,"mug'zee, heads of security",3043145,3111148,koriekin,3107414,0,druid,3107415,3107415,3107417
F9xXwVZj8P4KmkyT,2025-06-25 Wed,18,72,1221224,-1,mythic,"mug'zee, heads of security",3222309,3382693,bigboiples,3364049,4140,druid,3364051,3364509,3370297
BfWcKMdxybL1j9P7,2025-06-09 Mon,19,4,1221079,-1,mythic,"mug'zee, heads of security",3172343,3416886,koriekin,3386801,16746,druid,3386801,3390222,3390222
BfWcKMdxybL1j9P7,2025-06-09 Mon,19,4,1221079,-1,mythic,"mug'zee, heads of security",3172343,3416886,koriekin,3386801,16746,druid,3390222,3390222,3392773
BfWcKMdxybL1j9P7,2025-06-09 Mon,20,4,469708,-1,mythic,"mug'zee, heads of security",3547627,3794352,magicwingers,3548229,464,evoker,3548229,3559488,3560972
BfWcKMdxybL1j9P7,2025-06-09 Mon,20,4,469708,-1,mythic,"mug'zee, heads of security",3547627,3794352,magicwingers,3548229,464,evoker,3559488,3560972,3561029
pWxYMRbVZgAq3cJT,2025-07-09 Wed,21,29,1219333,-1,mythic,chrome king gallywix,4024476,4189033,cutefist,4155229,10546,monk,4155229,4155229,4155229
BfWcKMdxybL1j9P7,2025-06-09 Mon,22,4,469377,-1,mythic,"mug'zee, heads of security",3894023,4079043,yearning,3945049,0,monk,3945049,3951867,3951869
BfWcKMdxybL1j9P7,2025-06-09 Mon,22,4,469377,-1,mythic,"mug'zee, heads of security",3894023,4079043,yearning,3945049,0,monk,3951867,3951869,3957443
F9xXwVZj8P4KmkyT,2025-06-25 Wed,23,72,469061,-1,mythic,"mug'zee, heads of security",4250534,4311314,willowwisp,4269716,0,druid,4273104,4288490,4288491
BfWcKMdxybL1j9P7,2025-06-09 Mon,24,74,469061,-1,mythic,"mug'zee, heads of security",4230664,4373760,enjiie,4358426,0,demonhunter,4358426,4361895,4361895
BfWcKMdxybL1j9P7,2025-06-09 Mon,24,74,469061,-1,mythic,"mug'zee, heads of security",4230664,4373760,enjiie,4358426,0,demonhunter,4361895,4361895,4361897
F9xXwVZj8P4KmkyT,2025-06-25 Wed,25,90,1216495,-1,mythic,"mug'zee, heads of security",4392156,4715062,turbohot,4671102,0,hunter,4679078,4679108,4680738
BfWcKMdxybL1j9P7,2025-06-09 Mon,26,74,469061,-1,mythic,"mug'zee, heads of security",4487175,4797631,iustitiæ,4630210,0,warrior,4630210,4644993,4644993
BfWcKMdxybL1j9P7,2025-06-09 Mon,27,4,466974,-1,mythic,"mug'zee, heads of security",4828848,4855523,televisions,4829042,0,priest,4829042,4834914,4834914
BfWcKMdxybL1j9P7,2025-06-09 Mon,27,4,466974,-1,mythic,"mug'zee, heads of security",4828848,4855523,televisions,4829042,0,priest,4834914,4834914,4836655
BfWcKMdxybL1j9P7,2025-06-09 Mon,28,4,468665,-1,mythic,"mug'zee, heads of security",4960092,5274830,koriekin,5179010,30331,druid,5179010,5179012,5179012
